file_name,amount,bank,currency,date,txn_id
photo_16@18-04-2026_10-57-46.jpg,4200.00,Commercial Bank of Ethiopia,ETB,3/15/2026,FT260745RFTC
photo_17@18-04-2026_10-57-46.jpg,2500.00,EBIRR-KAAFI,ETB,3/15/2026,801673858534
photo_18@18-04-2026_10-57-46.jpg,320.00,CBE Birr,ETB,3/15/2026,DCF7189WRQJ
photo_19@18-04-2026_10-57-46.jpg,4400.00,Commercial Bank of Ethiopia,ETB,3/16/2026,FT260757@2JH
photo_20@18-04-2026_10-57-46.jpg,440.00,Commercial Bank of Ethiopia,ETB,3/16/2026,FT26075KHZ86
photo_21@18-04-2026_10-57-46.jpg,1000.00,EBIRR-KAAFI,ETB,3/16/2026,801677472515
photo_22@18-04-2026_10-57-46.jpg,1650.00,EBIRR-KAAFI,ETB,3/17/2026,801681322434
photo_23@18-04-2026_10-57-46.jpg,6450.00,Commercial Bank of Ethiopia,ETB,3/17/2026,FT26076KSZGL
photo_24@18-04-2026_10-57-46.jpg,984.00,TeleBirr,ETB,3/17/2026,DCH9V3WEMR
photo_25@18-04-2026_10-57-46.jpg,1600.00,EBIRR-KAAFI,ETB,3/18/2026,801685061641
photo_26@18-04-2026_10-57-46.jpg,1550.00,Commercial Bank of Ethiopia,ETB,3/18/2026,FT26077QLT09
photo_27@18-04-2026_10-57-46.jpg,172.00,TeleBirr,ETB,3/18/2026,DCI1WCU22N
photo_28@18-04-2026_10-57-46.jpg,3200.00,EBIRR-KAAFI,ETB,3/19/2026,801688790401
photo_29@18-04-2026_10-57-46.jpg,3000.00,Commercial Bank of Ethiopia,ETB,3/19/2026,FT26078G7GVJ
photo_30@18-04-2026_10-57-46.jpg,342.00,TeleBirr,ETB,3/19/2026,DCJ800UALS
photo_31@18-04-2026_10-57-46.jpg,1100.00,EBIRR-KAAFI,ETB,3/20/2026,801693226971
photo_32@18-04-2026_10-57-46.jpg,5300.00,Commercial Bank of Ethiopia,ETB,3/20/2026,FT26079QHVLM
photo_33@18-04-2026_10-57-46.jpg,320.00,CBE Birr,ETB,3/20/2026,DCK618N6VWA
photo_34@18-04-2026_10-57-46.jpg,1300.00,EBIRR-KAAFI,ETB,3/21/2026,801696939105
photo_35@18-04-2026_10-57-46.jpg,5400.00,Commercial Bank of Ethiopia,ETB,3/21/2026,FT26080GBLKM
photo_36@18-04-2026_10-57-46.jpg,320.00,CBE Birr,ETB,3/21/2026,DCL818PGQVQ
photo_37@18-04-2026_10-57-46.jpg,5000.00,EBIRR-KAAFI,ETB,3/22/2026,801700511896
photo_38@18-04-2026_10-57-46.jpg,4000.00,Commercial Bank of Ethiopia,ETB,3/22/2026,F260815GFOH
photo_39@18-04-2026_10-57-46.jpg,300.00,Commercial Bank of Ethiopia,ETB,3/22/2026,Null
photo_40@18-04-2026_10-57-46.jpg,600.00,Commercial Bank of Ethiopia,ETB,3/22/2026,FT26081VBZ66
photo_41@18-04-2026_10-57-46.jpg,3100.00,Commercial Bank of Ethiopia,ETB,3/23/2026,FT26082/91328
photo_42@18-04-2026_10-57-46.jpg,400.00,EBIRR-KAAFI,ETB,3/23/2026,801703678274
photo_43@18-04-2026_10-57-46.jpg,310.00,EBIRR-COOPay,ETB,3/23/2026,2190895598
photo_44@18-04-2026_10-57-46.jpg,1400.00,EBIRR-KAAFI,ETB,3/24/2026,801707288301
photo_45@18-04-2026_10-57-46.jpg,1300.00,Commercial Bank of Ethiopia,ETB,3/24/2026,FT26083P4H130
photo_46@18-04-2026_10-57-46.jpg,604.00,TeleBirr,ETB,3/24/2026,DC086H4HMW
photo_47@18-04-2026_10-57-46.jpg,1800.00,EBIRR-KAAFI,ETB,3/25/2026,801710794502
photo_48@18-04-2026_10-57-46.jpg,1350.00,Commercial Bank of Ethiopia,ETB,3/25/2026,FT260844LKWX
photo_49@18-04-2026_10-57-46.jpg,150.00,Commercial Bank of Ethiopia,ETB,3/25/2026,FT26084JXWTW
photo_50@18-04-2026_10-57-47.jpg,1104.00,TeleBirr,ETB,3/25/2026,DCP97WYNM1
photo_51@18-04-2026_10-57-47.jpg,500.00,Commercial Bank of Ethiopia,ETB,3/27/2026,FT26086C25YC
photo_52@18-04-2026_10-57-47.jpg,400.00,EBIRR-KAAFI,ETB,3/27/2026,801717936286
photo_53@18-04-2026_10-57-47.jpg,2150.00,Commercial Bank of Ethiopia,ETB,3/27/2026,FT26086KSZR1
photo_54@18-04-2026_10-57-47.jpg,670.00,Awash Bank,ETB,3/27/2026,Null
photo_56@18-04-2026_10-57-47.jpg,2600.00,EBIRR-COOPay,ETB,3/29/2026,2208387337
photo_58@18-04-2026_10-57-47.jpg,1800.00,Commercial Bank of Ethiopia,ETB,3/30/2026,FT26089LMV2K
photo_59@18-04-2026_10-57-47.jpg,150.00,TeleBirr,ETB,3/30/2026,null
photo_60@18-04-2026_10-57-47.jpg,5000.00,EBIRR-KAAFI,ETB,3/31/2026,801731969279
photo_61@18-04-2026_10-57-47.jpg,550.00,EBIRR-COOPay,ETB,4/1/2026,2217083600
photo_62@18-04-2026_10-57-47.jpg,310.00,CBE Birr,ETB,4/1/2026,DD1219KBUZQ
photo_63@18-04-2026_10-57-47.jpg,385.61,Commercial Bank of Ethiopia,ETB,4/1/2026,FT26091JJ4Z2
photo_64@18-04-2026_10-57-47.jpg,3800.00,EBIRR-KAAFI,ETB,4/2/2026,801739172290
photo_65@18-04-2026_10-57-47.jpg,320.00,CBE Birr,ETB,4/2/2026,DD2019N9PHQ
photo_66@18-04-2026_10-57-47.jpg,1500.00,Commercial Bank of Ethiopia,ETB,4/3/2026,FT260934DD9V
photo_67@18-04-2026_10-57-47.jpg,4600.00,EBIRR-KAAFI,ETB,4/3/2026,801742902331
photo_68@18-04-2026_10-57-47.jpg,3500.00,EBIRR-COOPay,ETB,4/4/2026,2226296349
photo_69@18-04-2026_10-57-47.jpg,2650.00,Commercial Bank of Ethiopia,ETB,4/4/2026,FT26094FNGCI
photo_70@18-04-2026_10-57-47.jpg,5300.00,Commercial Bank of Ethiopia,ETB,4/5/2026,FT26095YFLTX
photo_71@18-04-2026_10-57-47.jpg,5000.00,EBIRR-KAAFI,ETB,4/5/2026,801750174369
photo_72@18-04-2026_10-57-47.jpg,12900.00,Commercial Bank of Ethiopia,ETB,4/6/2026,FT260969TZJ3
photo_74@18-04-2026_10-57-47.jpg,302.00,TeleBirr,ETB,8/4/2026,DD82P8C4NA
photo_75@18-04-2026_10-57-47.jpg,85.00,EBIRR-COOPay,ETB,4/11/2026,2246665923
photo_76@18-04-2026_10-57-47.jpg,7000.00,Commercial Bank of Ethiopia,ETB,4/14/2026,FT26104TOHPS
photo_77@18-04-2026_10-57-47.jpg,954.00,TeleBirr,ETB,4/14/2026,DDEOUPNY7Q
photo_78@18-04-2026_10-57-47.jpg,2750.00,EBIRR-COOPay,ETB,4/16/2026,2262201945
photo_79@18-04-2026_10-57-47.jpg,3200.00,EBIRR-KAAFI,ETB,4/17/2026,801794864445
photo_82@18-04-2026_11-02-05.jpg,100.00,EBIRR-KAAFI,ETB,2/20/2026,801597343094
photo_85@18-04-2026_11-02-05.jpg,200.00,EBIRR-COOPay,ETB,2/23/2026,2108923027
photo_86@18-04-2026_11-02-05.jpg,450.00,EBIRR-KAAFI,ETB,3/1/2026,801626929744
photo_87@18-04-2026_11-02-05.jpg,400.00,EBIRR-KAAFI,ETB,3/6/2026,801644549565
photo_88@18-04-2026_11-02-05.jpg,150.00,TeleBirr,ETB,3/8/2026,null
photo_89@18-04-2026_11-02-05.jpg,430.00,EBIRR-KAAFI,ETB,3/8/2026,801650359655
photo_90@18-04-2026_11-02-05.jpg,500.00,Commercial Bank of Ethiopia,ETB,3/8/2026,Null
photo_92@18-04-2026_11-02-05.jpg,2350.00,EBIRR-KAAFI,ETB,3/9/2026,801653749520
photo_93@18-04-2026_11-02-05.jpg,190.61,Commercial Bank of Ethiopia,ETB,Null,FT26068FB7WX
photo_94@18-04-2026_11-02-05.jpg,50.00,EBIRR-KAAFI,ETB,3/12/2026,801664066903
photo_95@18-04-2026_11-02-05.jpg,740.00,EBIRR-KAAFI,ETB,3/12/2026,801664786411
photo_96@18-04-2026_11-02-05.jpg,365.00,Commercial Bank of Ethiopia,ETB,3/13/2026,FT26072DXP8Z
photo_97@18-04-2026_11-02-05.jpg,500.00,TeleBirr,ETB,3/13/2026,DCD2QH1VZM
photo_98@18-04-2026_11-02-05.jpg,220.00,EBIRR-KAAFI,ETB,3/13/2026,801667634887
photo_100@18-04-2026_11-02-05.jpg,315.00,EBIRR-KAAFI,ETB,3/13/2026,801667923579
photo_102@18-04-2026_11-02-05.jpg,1200.00,EBIRR-COOPay,ETB,3/14/2026,2165067272
photo_103@18-04-2026_11-02-05.jpg,500.00,EBIRR-COOPay,ETB,3/14/2026,2165064186
photo_104@18-04-2026_11-02-05.jpg,1000.00,EBIRR-KAAFI,ETB,3/14/2026,801671400460
photo_105@18-04-2026_11-02-05.jpg,160.00,null,ETB,3/14/2026,Null
photo_120@18-04-2026_11-02-06.jpg,735.00,Commercial Bank of Ethiopia,ETB,3/20/2026,FT260806PY6N
